t,px,py,pz,vx,vy,vz,ax,ay,az
3.0,0.1768094661169519,-0.17601794420289468,0.23623477238285595,-0.019116893427522427,0.019031312941313782,-0.02554204289339851,-0.00827846090771905,0.008241400769667442,-0.01106083498335884
3.1,0.17485658996236403,-0.17407381047768994,0.2336255384769868,-0.019938495311776886,0.01984923676516627,-0.026639783519954073,-0.008150411353456144,0.008113924454103291,-0.010889748231221854
3.2,0.17282222523153085,-0.17204855297567775,0.23090742784814638,-0.020746354206643707,0.020653479122792202,-0.027719162166005142,-0.00800371705209449,0.00796788685827186,-0.010693750269952573
3.3000000000000003,0.17070783828780534,-0.16994363149575067,0.228082399701464,-0.02153864041705146,0.0214422185101055,-0.028777734179643546,-0.00783907359640318,0.00780398046098612,-0.010473770479651999
3.4000000000000004,0.16851507498608376,-0.16776068452481596,0.22515265306035914,-0.022313593807205653,0.022213702670901374,-0.029813147846971193,-0.007657176579151305,0.007622897741059035,-0.010230738240421132
3.5,0.166245753716878,-0.16550152231300722,0.22212061747274084,-0.023069523800588673,0.022966248596856358,-0.030823144392100123,-0.0074587215931079575,0.0074253311773035706,-0.00996558293236097
3.6,0.16390185845038785,-0.16316811994889624,0.21898894371720615,-0.023804809379959827,0.023698242527528245,-0.03180555797715244,-0.007244404231042223,0.007211973248532691,-0.009679233935572507
3.7,0.16148553178057332,-0.1607626104347051,0.21576049450923962,-0.024517899087355334,0.024408139950356143,-0.03275831570226038,-0.007014920085723193,0.00698351643355936,-0.009372620630156743
3.8000000000000003,0.15899906796922694,-0.15828727776151788,0.21243833520741193,-0.025207311024088328,0.025094465600660462,-0.03367943760556625,-0.006770964749919956,0.0067406532111965395,-0.009046672396214673
3.9000000000000004,0.15644490599004612,-0.1557445499844925,0.20902572451957913,-0.025871632850748828,0.025755813461642907,-0.03456703666322248,-0.006513233816401611,0.006484076060257206,-0.008702318613847303
